! Solar data file for CrIS hiRes 080808 SARTA fast model
!
! Data for 645-1500 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the IASI
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 1500-2760 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with IASI SRFs (Gaussian
! 2cm apodization) for each channel to approximate the effective
! solar irradiance.
!
!chan frequency  solar
!----  -------  -------
 639 1048.750   40.526
 640 1049.375   40.575
 641 1050.000   40.622
 642 1050.625   40.669
 643 1051.250   40.717
 644 1051.875   40.766
 645 1052.500   40.813
 646 1053.125   40.861
 647 1053.750   40.909
 648 1054.375   40.957
 649 1055.000   41.005
 650 1055.625   41.052
 651 1056.250   41.100
 652 1056.875   41.148
 653 1057.500   41.196
 654 1058.125   41.245
 655 1058.750   41.292
 656 1059.375   41.340
 657 1060.000   41.388
 658 1060.625   41.436
 659 1061.250   41.484
 660 1061.875   41.532
 661 1062.500   41.580
 662 1063.125   41.629
 663 1063.750   41.676
 664 1064.375   41.725
 665 1065.000   41.773
 666 1065.625   41.820
 667 1066.250   41.869
 668 1066.875   41.917
 669 1067.500   41.965
 670 1068.125   42.014
 671 1068.750   42.061
 672 1069.375   42.109
 673 1070.000   42.158
 674 1070.625   42.207
 675 1071.250   42.254
 676 1071.875   42.302
 677 1072.500   42.351
 678 1073.125   42.400
 679 1073.750   42.448
 680 1074.375   42.496
 681 1075.000   42.544
 682 1075.625   42.593
 683 1076.250   42.641
 684 1076.875   42.689
 685 1077.500   42.738
 686 1078.125   42.787
 687 1078.750   42.835
 688 1079.375   42.883
 689 1080.000   42.932
 690 1080.625   42.980
 691 1081.250   43.029
 692 1081.875   43.077
 693 1082.500   43.126
 694 1083.125   43.174
 695 1083.750   43.223
 696 1084.375   43.272
 697 1085.000   43.320
 698 1085.625   43.368
 699 1086.250   43.417
 700 1086.875   43.466
 701 1087.500   43.515
 702 1088.125   43.564
 703 1088.750   43.612
 704 1089.375   43.661
 705 1090.000   43.710
 706 1090.625   43.758
 707 1091.250   43.807
 708 1091.875   43.856
 709 1092.500   43.905
 710 1093.125   43.954
 711 1093.750   44.002
 712 1094.375   44.051
 713 1095.000   44.100
2216 1095.625   44.148
2217 1096.250   44.197
2218 1096.875   44.246
2219 1097.500   44.295
2220 1207.500   53.120
2221 1208.125   53.170
2222 1208.750   53.221
2223 1209.375   53.273
 714 1210.000   53.324
 715 1210.625   53.374
 716 1211.250   53.425
 717 1211.875   53.477
 718 1212.500   53.528
 719 1213.125   53.578
 720 1213.750   53.629
 721 1214.375   53.681
 722 1215.000   53.732
 723 1215.625   53.783
 724 1216.250   53.834
 725 1216.875   53.885
 726 1217.500   53.936
 727 1218.125   53.987
 728 1218.750   54.038
 729 1219.375   54.089
 730 1220.000   54.140
 731 1220.625   54.191
 732 1221.250   54.242
 733 1221.875   54.294
 734 1222.500   54.345
 735 1223.125   54.395
 736 1223.750   54.447
 737 1224.375   54.498
 738 1225.000   54.549
 739 1225.625   54.600
 740 1226.250   54.651
 741 1226.875   54.702
 742 1227.500   54.753
 743 1228.125   54.804
 744 1228.750   54.855
 745 1229.375   54.907
 746 1230.000   54.958
 747 1230.625   55.009
 748 1231.250   55.060
 749 1231.875   55.111
 750 1232.500   55.162
 751 1233.125   55.213
 752 1233.750   55.264
 753 1234.375   55.316
 754 1235.000   55.367
 755 1235.625   55.418
 756 1236.250   55.469
 757 1236.875   55.520
 758 1237.500   55.572
 759 1238.125   55.623
 760 1238.750   55.674
 761 1239.375   55.725
 762 1240.000   55.776
 763 1240.625   55.827
 764 1241.250   55.878
 765 1241.875   55.929
 766 1242.500   55.981
 767 1243.125   56.032
 768 1243.750   56.083
 769 1244.375   56.135
 770 1245.000   56.186
 771 1245.625   56.236
 772 1246.250   56.288
 773 1246.875   56.339
 774 1247.500   56.390
 775 1248.125   56.441
 776 1248.750   56.492
 777 1249.375   56.544
 778 1250.000   56.595
 779 1250.625   56.646
 780 1251.250   56.697
 781 1251.875   56.748
 782 1252.500   56.800
 783 1253.125   56.851
 784 1253.750   56.902
 785 1254.375   56.953
 786 1255.000   57.004
 787 1255.625   57.056
 788 1256.250   57.106
 789 1256.875   57.157
 790 1257.500   57.209
 791 1258.125   57.260
 792 1258.750   57.311
 793 1259.375   57.362
 794 1260.000   57.414
 795 1260.625   57.465
 796 1261.250   57.516
 797 1261.875   57.568
 798 1262.500   57.619
 799 1263.125   57.670
